"BehaviorSpace results (NetLogo 6.2.2)"
"Model_final-version.nlogo"
"2000_people_100pct_vacinated"
"02/01/2022 14:08:12:070 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-135","135","-135","135"
"[run number]","percentage-vacinated","Show-place-of-infection","crowd-size","[step]","r-number"
"2","100","false","2000","0","0"
"3","100","false","2000","0","0"
"10","100","false","2000","0","0"
"4","100","false","2000","0","0"
"5","100","false","2000","0","0"
"1","100","false","2000","0","0"
"8","100","false","2000","0","0"
"7","100","false","2000","0","0"
"6","100","false","2000","0","0"
"9","100","false","2000","0","0"
"7","100","false","2000","1","0"
"3","100","false","2000","1","0.008333333333333333"
"1","100","false","2000","1","0.008333333333333333"
"6","100","false","2000","1","0.008333333333333333"
"4","100","false","2000","1","0"
"10","100","false","2000","1","0"
"8","100","false","2000","1","0.008333333333333333"
"2","100","false","2000","1","0.008333333333333333"
"5","100","false","2000","1","0.016666666666666666"
"9","100","false","2000","1","0.016666666666666666"
"1","100","false","2000","2","0.008333333333333333"
"7","100","false","2000","2","0"
"3","100","false","2000","2","0.025"
"6","100","false","2000","2","0.008333333333333333"
"4","100","false","2000","2","0"
"10","100","false","2000","2","0"
"8","100","false","2000","2","0.008333333333333333"
"2","100","false","2000","2","0.008333333333333333"
"5","100","false","2000","2","0.025"
"9","100","false","2000","2","0.016666666666666666"
"3","100","false","2000","3","0.025"
"7","100","false","2000","3","0"
"4","100","false","2000","3","0"
"6","100","false","2000","3","0.016666666666666666"
"1","100","false","2000","3","0.008333333333333333"
"10","100","false","2000","3","0.008333333333333333"
"2","100","false","2000","3","0.025"
"8","100","false","2000","3","0.016666666666666666"
"5","100","false","2000","3","0.03333333333333333"
"3","100","false","2000","4","0.025"
"4","100","false","2000","4","0"
"9","100","false","2000","3","0.016666666666666666"
"1","100","false","2000","4","0.008333333333333333"
"7","100","false","2000","4","0"
"6","100","false","2000","4","0.016666666666666666"
"10","100","false","2000","4","0.008333333333333333"
"2","100","false","2000","4","0.025"
"8","100","false","2000","4","0.016666666666666666"
"5","100","false","2000","4","0.03333333333333333"
"3","100","false","2000","5","0.025"
"9","100","false","2000","4","0.025"
"6","100","false","2000","5","0.025"
"1","100","false","2000","5","0.016666666666666666"
"7","100","false","2000","5","0.008333333333333333"
"4","100","false","2000","5","0.008333333333333333"
"10","100","false","2000","5","0.016666666666666666"
"2","100","false","2000","5","0.025"
"3","100","false","2000","6","0.025"
"8","100","false","2000","5","0.025"
"6","100","false","2000","6","0.041666666666666664"
"5","100","false","2000","5","0.041666666666666664"
"1","100","false","2000","6","0.025"
"7","100","false","2000","6","0.008333333333333333"
"9","100","false","2000","5","0.025"
"10","100","false","2000","6","0.025"
"4","100","false","2000","6","0.008333333333333333"
"2","100","false","2000","6","0.025"
"3","100","false","2000","7","0.025"
"8","100","false","2000","6","0.03333333333333333"
"7","100","false","2000","7","0.016666666666666666"
"6","100","false","2000","7","0.041666666666666664"
"1","100","false","2000","7","0.025"
"5","100","false","2000","6","0.05"
"10","100","false","2000","7","0.025"
"9","100","false","2000","6","0.03333333333333333"
"4","100","false","2000","7","0.008333333333333333"
"2","100","false","2000","7","0.025"
"3","100","false","2000","8","0.041666666666666664"
"1","100","false","2000","8","0.025"
"7","100","false","2000","8","0.016666666666666666"
"8","100","false","2000","7","0.03333333333333333"
"5","100","false","2000","7","0.05"
"10","100","false","2000","8","0.041666666666666664"
"6","100","false","2000","8","0.05"
"2","100","false","2000","8","0.025"
"4","100","false","2000","8","0.016666666666666666"
"9","100","false","2000","7","0.041666666666666664"
"1","100","false","2000","9","0.025"
"3","100","false","2000","9","0.05"
"7","100","false","2000","9","0.016666666666666666"
"5","100","false","2000","8","0.05"
"8","100","false","2000","8","0.03333333333333333"
"10","100","false","2000","9","0.041666666666666664"
"6","100","false","2000","9","0.058333333333333334"
"4","100","false","2000","9","0.025"
"2","100","false","2000","9","0.03333333333333333"
"9","100","false","2000","8","0.041666666666666664"
"1","100","false","2000","10","0.03333333333333333"
"3","100","false","2000","10","0.05"
"7","100","false","2000","10","0.025"
"5","100","false","2000","9","0.05"
"8","100","false","2000","9","0.041666666666666664"
"6","100","false","2000","10","0.075"
"10","100","false","2000","10","0.041666666666666664"
"9","100","false","2000","9","0.041666666666666664"
"2","100","false","2000","10","0.05"
"4","100","false","2000","10","0.025"
"1","100","false","2000","11","0.03333333333333333"
"3","100","false","2000","11","0.05"
"7","100","false","2000","11","0.025"
"6","100","false","2000","11","0.08333333333333333"
"5","100","false","2000","10","0.058333333333333334"
"8","100","false","2000","10","0.05"
"10","100","false","2000","11","0.041666666666666664"
"9","100","false","2000","10","0.041666666666666664"
"2","100","false","2000","11","0.05"
"1","100","false","2000","12","0.041666666666666664"
"3","100","false","2000","12","0.05"
"4","100","false","2000","11","0.03333333333333333"
"6","100","false","2000","12","0.08333333333333333"
"7","100","false","2000","12","0.03333333333333333"
"8","100","false","2000","11","0.05"
"10","100","false","2000","12","0.05"
"5","100","false","2000","11","0.075"
"2","100","false","2000","12","0.058333333333333334"
"1","100","false","2000","13","0.05"
"9","100","false","2000","11","0.05"
"3","100","false","2000","13","0.075"
"4","100","false","2000","12","0.041666666666666664"
"7","100","false","2000","13","0.05"
"1","100","false","2000","14","0.05"
"6","100","false","2000","13","0.1"
"10","100","false","2000","13","0.05"
"8","100","false","2000","12","0.058333333333333334"
"9","100","false","2000","12","0.058333333333333334"
"2","100","false","2000","13","0.058333333333333334"
"5","100","false","2000","12","0.075"
"3","100","false","2000","14","0.075"
"4","100","false","2000","13","0.041666666666666664"
"7","100","false","2000","14","0.05"
"8","100","false","2000","13","0.06666666666666667"
"1","100","false","2000","15","0.058333333333333334"
"2","100","false","2000","14","0.058333333333333334"
"6","100","false","2000","14","0.1"
"10","100","false","2000","14","0.058333333333333334"
"9","100","false","2000","13","0.058333333333333334"
"5","100","false","2000","13","0.08333333333333333"
"3","100","false","2000","15","0.075"
"4","100","false","2000","14","0.058333333333333334"
"7","100","false","2000","15","0.05"
"1","100","false","2000","16","0.06666666666666667"
"6","100","false","2000","15","0.1"
"2","100","false","2000","15","0.058333333333333334"
"8","100","false","2000","14","0.06666666666666667"
"10","100","false","2000","15","0.06666666666666667"
"5","100","false","2000","14","0.09166666666666666"
"3","100","false","2000","16","0.08333333333333333"
"9","100","false","2000","14","0.058333333333333334"
"4","100","false","2000","15","0.058333333333333334"
"7","100","false","2000","16","0.058333333333333334"
"1","100","false","2000","17","0.06666666666666667"
"2","100","false","2000","16","0.058333333333333334"
"6","100","false","2000","16","0.1"
"9","100","false","2000","15","0.058333333333333334"
"3","100","false","2000","17","0.09166666666666666"
"10","100","false","2000","16","0.075"
"5","100","false","2000","15","0.10833333333333334"
"8","100","false","2000","15","0.075"
"1","100","false","2000","18","0.06666666666666667"
"4","100","false","2000","16","0.058333333333333334"
"7","100","false","2000","17","0.06666666666666667"
"2","100","false","2000","17","0.075"
"6","100","false","2000","17","0.1"
"5","100","false","2000","16","0.11666666666666667"
"9","100","false","2000","16","0.058333333333333334"
"3","100","false","2000","18","0.09166666666666666"
"8","100","false","2000","16","0.09166666666666666"
"7","100","false","2000","18","0.08333333333333333"
"1","100","false","2000","19","0.06666666666666667"
"10","100","false","2000","17","0.09166666666666666"
"4","100","false","2000","17","0.058333333333333334"
"2","100","false","2000","18","0.08333333333333333"
"6","100","false","2000","18","0.1"
"9","100","false","2000","17","0.06666666666666667"
"5","100","false","2000","17","0.11666666666666667"
"8","100","false","2000","17","0.1"
"1","100","false","2000","20","0.08333333333333333"
"3","100","false","2000","19","0.1"
"7","100","false","2000","19","0.08333333333333333"
"4","100","false","2000","18","0.058333333333333334"
"10","100","false","2000","18","0.09166666666666666"
"2","100","false","2000","19","0.09166666666666666"
"6","100","false","2000","19","0.11666666666666667"
"9","100","false","2000","18","0.075"
"5","100","false","2000","18","0.125"
"3","100","false","2000","20","0.13333333333333333"
"1","100","false","2000","21","0.08333333333333333"
"7","100","false","2000","20","0.09166666666666666"
"4","100","false","2000","19","0.06666666666666667"
"8","100","false","2000","18","0.1"
"10","100","false","2000","19","0.09166666666666666"
"2","100","false","2000","20","0.10833333333333334"
"6","100","false","2000","20","0.125"
"9","100","false","2000","19","0.09166666666666666"
"1","100","false","2000","22","0.1"
"3","100","false","2000","21","0.14166666666666666"
"7","100","false","2000","21","0.10833333333333334"
"4","100","false","2000","20","0.08333333333333333"
"5","100","false","2000","19","0.15"
"2","100","false","2000","21","0.10833333333333334"
"8","100","false","2000","19","0.1"
"6","100","false","2000","21","0.13333333333333333"
"10","100","false","2000","20","0.10833333333333334"
"1","100","false","2000","23","0.11666666666666667"
"9","100","false","2000","20","0.1"
"7","100","false","2000","22","0.10833333333333334"
"3","100","false","2000","22","0.14166666666666666"
"4","100","false","2000","21","0.08333333333333333"
"2","100","false","2000","22","0.11666666666666667"
"5","100","false","2000","20","0.15833333333333333"
"8","100","false","2000","20","0.1"
"6","100","false","2000","22","0.15"
"10","100","false","2000","21","0.11666666666666667"
"1","100","false","2000","24","0.13333333333333333"
"9","100","false","2000","21","0.1"
"4","100","false","2000","22","0.08333333333333333"
"7","100","false","2000","23","0.10833333333333334"
"3","100","false","2000","23","0.14166666666666666"
"5","100","false","2000","21","0.15833333333333333"
"2","100","false","2000","23","0.11666666666666667"
"6","100","false","2000","23","0.15"
"10","100","false","2000","22","0.11666666666666667"
"8","100","false","2000","21","0.125"
"9","100","false","2000","22","0.1"
"1","100","false","2000","25","0.14166666666666666"
"4","100","false","2000","23","0.08333333333333333"
"7","100","false","2000","24","0.13333333333333333"
"3","100","false","2000","24","0.15"
"2","100","false","2000","24","0.125"
"5","100","false","2000","22","0.15833333333333333"
"10","100","false","2000","23","0.11666666666666667"
"8","100","false","2000","22","0.14166666666666666"
"6","100","false","2000","24","0.16666666666666666"
"1","100","false","2000","26","0.15"
"9","100","false","2000","23","0.10833333333333334"
"4","100","false","2000","24","0.09166666666666666"
"7","100","false","2000","25","0.13333333333333333"
"3","100","false","2000","25","0.16666666666666666"
"2","100","false","2000","25","0.14166666666666666"
"10","100","false","2000","24","0.11666666666666667"
"1","100","false","2000","27","0.175"
"5","100","false","2000","23","0.15833333333333333"
"6","100","false","2000","25","0.16666666666666666"
"9","100","false","2000","24","0.125"
"8","100","false","2000","23","0.14166666666666666"
"4","100","false","2000","25","0.1"
"3","100","false","2000","26","0.175"
"7","100","false","2000","26","0.14166666666666666"
"2","100","false","2000","26","0.14166666666666666"
"1","100","false","2000","28","0.175"
"10","100","false","2000","25","0.125"
"5","100","false","2000","24","0.15833333333333333"
"9","100","false","2000","25","0.13333333333333333"
"8","100","false","2000","24","0.15"
"6","100","false","2000","26","0.175"
"4","100","false","2000","26","0.1"
"3","100","false","2000","27","0.18333333333333332"
"7","100","false","2000","27","0.15"
"2","100","false","2000","27","0.15833333333333333"
"1","100","false","2000","29","0.175"
"10","100","false","2000","26","0.13333333333333333"
"9","100","false","2000","26","0.13333333333333333"
"5","100","false","2000","25","0.16666666666666666"
"8","100","false","2000","25","0.15833333333333333"
"4","100","false","2000","27","0.1"
"6","100","false","2000","27","0.2"
"7","100","false","2000","28","0.175"
"2","100","false","2000","28","0.16666666666666666"
"3","100","false","2000","28","0.19166666666666668"
"1","100","false","2000","30","0.18333333333333332"
"9","100","false","2000","27","0.15"
"5","100","false","2000","26","0.16666666666666666"
"10","100","false","2000","27","0.15833333333333333"
"8","100","false","2000","26","0.15833333333333333"
"4","100","false","2000","28","0.11666666666666667"
"6","100","false","2000","28","0.21666666666666667"
"2","100","false","2000","29","0.175"
"1","100","false","2000","31","0.20833333333333334"
"7","100","false","2000","29","0.175"
"3","100","false","2000","29","0.20833333333333334"
"9","100","false","2000","28","0.15"
"5","100","false","2000","27","0.18333333333333332"
"10","100","false","2000","28","0.16666666666666666"
"8","100","false","2000","27","0.16666666666666666"
"4","100","false","2000","29","0.13333333333333333"
