"BehaviorSpace results (NetLogo 6.2.2)"
"Model_final-version.nlogo"
"2500_people_100pct_vacinated"
"02/01/2022 12:13:23:129 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-135","135","-135","135"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"percentage-vacinated","100","100","100","100","100","100","100","100","100","100"
"Show-place-of-infection","false","false","false","false","false","false","false","false","false","false"
"crowd-size","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500"
"[reporter]","r-number","r-number","r-number","r-number","r-number","r-number","r-number","r-number","r-number","r-number"
"[final]","2.6533333333333333","2.54","2.2666666666666666","2.546666666666667","2.3333333333333335","2.2333333333333334","2.3933333333333335","2.3866666666666667","2.36","2.52"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","2.6533333333333333","2.54","2.2666666666666666","2.546666666666667","2.3333333333333335","2.2333333333333334","2.3933333333333335","2.3866666666666667","2.36","2.52"
"[mean]","1.4237969094922736","1.3717880794701989","1.1952759381898455","1.3306843267108168","1.2498454746136862","1.2007947019867549","1.2228697571743932","1.2498896247240614","1.2397792494481235","1.2834878587196465"
"[steps]","150","150","150","150","150","150","150","150","150","150"

"[all run data]","r-number","r-number","r-number","r-number","r-number","r-number","r-number","r-number","r-number","r-number"
,"0","0","0","0","0","0","0","0","0","0"
,"0","0.02","0","0","0","0","0","0.006666666666666667","0","0.02"
,"0","0.03333333333333333","0","0.02666666666666667","0","0.006666666666666667","0","0.013333333333333334","0.013333333333333334","0.02666666666666667"
,"0","0.04666666666666667","0.006666666666666667","0.03333333333333333","0","0.013333333333333334","0","0.02666666666666667","0.02","0.02666666666666667"
,"0.013333333333333334","0.04666666666666667","0.006666666666666667","0.04","0","0.02666666666666667","0","0.04","0.03333333333333333","0.04"
,"0.02","0.04666666666666667","0.013333333333333334","0.04666666666666667","0.013333333333333334","0.03333333333333333","0.006666666666666667","0.04","0.03333333333333333","0.05333333333333334"
,"0.02666666666666667","0.04666666666666667","0.02","0.06","0.013333333333333334","0.04666666666666667","0.006666666666666667","0.04","0.04","0.05333333333333334"
,"0.03333333333333333","0.05333333333333334","0.02666666666666667","0.06","0.013333333333333334","0.05333333333333334","0.02","0.04666666666666667","0.04666666666666667","0.06"
,"0.04","0.06","0.02666666666666667","0.06666666666666667","0.02","0.06","0.02666666666666667","0.06","0.05333333333333334","0.06"
,"0.04666666666666667","0.06666666666666667","0.04","0.07333333333333333","0.02","0.06","0.04666666666666667","0.07333333333333333","0.05333333333333334","0.06666666666666667"
,"0.05333333333333334","0.07333333333333333","0.04666666666666667","0.08","0.03333333333333333","0.07333333333333333","0.04666666666666667","0.07333333333333333","0.05333333333333334","0.07333333333333333"
,"0.07333333333333333","0.08666666666666667","0.05333333333333334","0.08","0.04666666666666667","0.09333333333333334","0.06666666666666667","0.07333333333333333","0.06","0.07333333333333333"
,"0.1","0.1","0.06666666666666667","0.10666666666666667","0.04666666666666667","0.1","0.07333333333333333","0.08666666666666667","0.06666666666666667","0.07333333333333333"
,"0.11333333333333333","0.1","0.08666666666666667","0.10666666666666667","0.05333333333333334","0.1","0.08","0.09333333333333334","0.07333333333333333","0.08666666666666667"
,"0.12","0.10666666666666667","0.09333333333333334","0.10666666666666667","0.06","0.12666666666666668","0.08666666666666667","0.09333333333333334","0.09333333333333334","0.08666666666666667"
,"0.14","0.10666666666666667","0.10666666666666667","0.11333333333333333","0.06666666666666667","0.13333333333333333","0.08666666666666667","0.11333333333333333","0.10666666666666667","0.09333333333333334"
,"0.14666666666666667","0.10666666666666667","0.11333333333333333","0.12","0.07333333333333333","0.14","0.08666666666666667","0.12666666666666668","0.12666666666666668","0.11333333333333333"
,"0.14666666666666667","0.11333333333333333","0.12","0.13333333333333333","0.09333333333333334","0.15333333333333332","0.10666666666666667","0.13333333333333333","0.14666666666666667","0.12666666666666668"
,"0.15333333333333332","0.12","0.13333333333333333","0.13333333333333333","0.10666666666666667","0.16","0.11333333333333333","0.15333333333333332","0.16666666666666666","0.14"
,"0.15333333333333332","0.13333333333333333","0.14","0.14","0.12666666666666668","0.16666666666666666","0.11333333333333333","0.16666666666666666","0.17333333333333334","0.14"
,"0.18","0.14","0.16","0.14666666666666667","0.14","0.18","0.13333333333333333","0.16666666666666666","0.17333333333333334","0.14666666666666667"
,"0.18666666666666668","0.14666666666666667","0.16","0.14666666666666667","0.16","0.18666666666666668","0.15333333333333332","0.17333333333333334","0.17333333333333334","0.16"
,"0.20666666666666667","0.16","0.16","0.16","0.18","0.18666666666666668","0.16","0.18666666666666668","0.18","0.17333333333333334"
,"0.22","0.18666666666666668","0.16666666666666666","0.16","0.19333333333333333","0.19333333333333333","0.18666666666666668","0.19333333333333333","0.18666666666666668","0.19333333333333333"
,"0.24","0.21333333333333335","0.17333333333333334","0.16666666666666666","0.22","0.2","0.2","0.2","0.21333333333333335","0.20666666666666667"
,"0.25333333333333335","0.24","0.19333333333333333","0.17333333333333334","0.22666666666666666","0.21333333333333335","0.2","0.22","0.22666666666666666","0.23333333333333334"
,"0.2733333333333333","0.24666666666666667","0.2","0.18666666666666668","0.25333333333333335","0.21333333333333335","0.22","0.22666666666666666","0.24","0.25333333333333335"
,"0.28","0.2733333333333333","0.21333333333333335","0.19333333333333333","0.26","0.23333333333333334","0.23333333333333334","0.23333333333333334","0.24666666666666667","0.26666666666666666"
,"0.28","0.2866666666666667","0.22666666666666666","0.19333333333333333","0.2733333333333333","0.24666666666666667","0.24","0.24666666666666667","0.25333333333333335","0.28"
,"0.28","0.3","0.24666666666666667","0.2","0.29333333333333333","0.28","0.25333333333333335","0.26","0.2733333333333333","0.2866666666666667"
,"0.3","0.32666666666666666","0.26666666666666666","0.20666666666666667","0.30666666666666664","0.3","0.26","0.26666666666666666","0.28","0.29333333333333333"
,"0.32","0.35333333333333333","0.2733333333333333","0.22666666666666666","0.32","0.32","0.26666666666666666","0.28","0.3","0.31333333333333335"
,"0.32666666666666666","0.36","0.29333333333333333","0.23333333333333334","0.35333333333333333","0.36","0.28","0.29333333333333333","0.32","0.34"
,"0.3466666666666667","0.38","0.3","0.28","0.37333333333333335","0.3933333333333333","0.29333333333333333","0.31333333333333335","0.32","0.3466666666666667"
