"BehaviorSpace results (NetLogo 6.2.2)"
"Model_final-version.nlogo"
"5000_people_70.6pct_vacinated"
"01/31/2022 21:33:11:816 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-135","135","-135","135"
"[run number]","percentage-vacinated","Show-place-of-infection","crowd-size","[step]","r-number"
"5","70.6","false","5000","0","0"
"1","70.6","false","5000","0","0"
"3","70.6","false","5000","0","0"
"8","70.6","false","5000","0","0"
"4","70.6","false","5000","0","0"
"10","70.6","false","5000","0","0"
"2","70.6","false","5000","0","0"
"7","70.6","false","5000","0","0"
"9","70.6","false","5000","0","0"
"6","70.6","false","5000","0","0"
"1","70.6","false","5000","1","0.02666666666666667"
"9","70.6","false","5000","1","0.01"
"5","70.6","false","5000","1","0.02"
"7","70.6","false","5000","1","0.023333333333333334"
"6","70.6","false","5000","1","0.006666666666666667"
"3","70.6","false","5000","1","0.03"
"4","70.6","false","5000","1","0.023333333333333334"
"10","70.6","false","5000","1","0.02666666666666667"
"2","70.6","false","5000","1","0.016666666666666666"
"8","70.6","false","5000","1","0.02"
"1","70.6","false","5000","2","0.05"
"7","70.6","false","5000","2","0.043333333333333335"
"9","70.6","false","5000","2","0.023333333333333334"
"5","70.6","false","5000","2","0.05333333333333334"
"3","70.6","false","5000","2","0.06333333333333334"
"10","70.6","false","5000","2","0.043333333333333335"
"4","70.6","false","5000","2","0.04"
"6","70.6","false","5000","2","0.016666666666666666"
"2","70.6","false","5000","2","0.03"
"8","70.6","false","5000","2","0.043333333333333335"
"1","70.6","false","5000","3","0.06333333333333334"
"7","70.6","false","5000","3","0.06333333333333334"
"9","70.6","false","5000","3","0.03666666666666667"
"10","70.6","false","5000","3","0.056666666666666664"
"3","70.6","false","5000","3","0.11333333333333333"
"5","70.6","false","5000","3","0.08666666666666667"
"6","70.6","false","5000","3","0.03333333333333333"
"4","70.6","false","5000","3","0.06333333333333334"
"8","70.6","false","5000","3","0.06666666666666667"
"2","70.6","false","5000","3","0.043333333333333335"
"1","70.6","false","5000","4","0.08333333333333333"
"7","70.6","false","5000","4","0.08333333333333333"
"5","70.6","false","5000","4","0.12"
"9","70.6","false","5000","4","0.05333333333333334"
"6","70.6","false","5000","4","0.06666666666666667"
"10","70.6","false","5000","4","0.09"
"3","70.6","false","5000","4","0.13666666666666666"
"4","70.6","false","5000","4","0.08666666666666667"
"8","70.6","false","5000","4","0.09333333333333334"
"2","70.6","false","5000","4","0.07333333333333333"
"1","70.6","false","5000","5","0.10333333333333333"
"7","70.6","false","5000","5","0.10333333333333333"
"9","70.6","false","5000","5","0.06666666666666667"
"5","70.6","false","5000","5","0.13"
"10","70.6","false","5000","5","0.11333333333333333"
"4","70.6","false","5000","5","0.1"
"6","70.6","false","5000","5","0.10333333333333333"
"2","70.6","false","5000","5","0.09"
"3","70.6","false","5000","5","0.16333333333333333"
"8","70.6","false","5000","5","0.10333333333333333"
"1","70.6","false","5000","6","0.14"
"7","70.6","false","5000","6","0.12"
"9","70.6","false","5000","6","0.1"
"6","70.6","false","5000","6","0.13333333333333333"
"10","70.6","false","5000","6","0.14"
"5","70.6","false","5000","6","0.17"
"3","70.6","false","5000","6","0.18333333333333332"
"4","70.6","false","5000","6","0.13"
"8","70.6","false","5000","6","0.12333333333333334"
"2","70.6","false","5000","6","0.12"
"1","70.6","false","5000","7","0.16666666666666666"
"7","70.6","false","5000","7","0.14333333333333334"
"9","70.6","false","5000","7","0.13666666666666666"
"10","70.6","false","5000","7","0.16"
"6","70.6","false","5000","7","0.19666666666666666"
"3","70.6","false","5000","7","0.21333333333333335"
"4","70.6","false","5000","7","0.15"
"5","70.6","false","5000","7","0.18666666666666668"
"1","70.6","false","5000","8","0.2"
"2","70.6","false","5000","7","0.13666666666666666"
"8","70.6","false","5000","7","0.14"
"9","70.6","false","5000","8","0.16"
"7","70.6","false","5000","8","0.16333333333333333"
"10","70.6","false","5000","8","0.18666666666666668"
"1","70.6","false","5000","9","0.22666666666666666"
"6","70.6","false","5000","8","0.22666666666666666"
"3","70.6","false","5000","8","0.25333333333333335"
"5","70.6","false","5000","8","0.21333333333333335"
"4","70.6","false","5000","8","0.17"
"2","70.6","false","5000","8","0.15666666666666668"
"8","70.6","false","5000","8","0.15333333333333332"
"10","70.6","false","5000","9","0.22333333333333333"
"7","70.6","false","5000","9","0.18666666666666668"
"9","70.6","false","5000","9","0.20666666666666667"
"1","70.6","false","5000","10","0.26666666666666666"
"6","70.6","false","5000","9","0.24333333333333335"
"5","70.6","false","5000","9","0.24"
"3","70.6","false","5000","9","0.28"
"4","70.6","false","5000","9","0.19"
"2","70.6","false","5000","9","0.16666666666666666"
"8","70.6","false","5000","9","0.16666666666666666"
"10","70.6","false","5000","10","0.26"
"9","70.6","false","5000","10","0.24333333333333335"
"7","70.6","false","5000","10","0.19666666666666666"
"1","70.6","false","5000","11","0.3"
"6","70.6","false","5000","10","0.27666666666666667"
"2","70.6","false","5000","10","0.19666666666666666"
"5","70.6","false","5000","10","0.2866666666666667"
"3","70.6","false","5000","10","0.32666666666666666"
"4","70.6","false","5000","10","0.21666666666666667"
"9","70.6","false","5000","11","0.2633333333333333"
"10","70.6","false","5000","11","0.31"
"8","70.6","false","5000","10","0.19333333333333333"
"7","70.6","false","5000","11","0.23333333333333334"
"1","70.6","false","5000","12","0.33"
"6","70.6","false","5000","11","0.30666666666666664"
"5","70.6","false","5000","11","0.31666666666666665"
"4","70.6","false","5000","11","0.23"
