"BehaviorSpace results (NetLogo 6.2.2)"
"Model_final-version.nlogo"
"10000_people_100pct_vacinated"
"01/31/2022 19:57:32:154 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-135","135","-135","135"
"[run number]","percentage-vacinated","Show-place-of-infection","crowd-size","[step]","r-number"
"10","100","false","10000","0","0"
"4","100","false","10000","0","0"
"2","100","false","10000","0","0"
"6","100","false","10000","0","0"
"5","100","false","10000","0","0"
"9","100","false","10000","0","0"
"8","100","false","10000","0","0"
"7","100","false","10000","0","0"
"3","100","false","10000","0","0"
"1","100","false","10000","0","0"
"5","100","false","10000","1","0.023333333333333334"
"9","100","false","10000","1","0.03"
"4","100","false","10000","1","0.015"
"10","100","false","10000","1","0.023333333333333334"
"6","100","false","10000","1","0.02666666666666667"
"3","100","false","10000","1","0.03166666666666667"
"1","100","false","10000","1","0.03333333333333333"
"7","100","false","10000","1","0.016666666666666666"
"8","100","false","10000","1","0.018333333333333333"
"2","100","false","10000","1","0.028333333333333332"
"5","100","false","10000","2","0.051666666666666666"
"4","100","false","10000","2","0.04"
"9","100","false","10000","2","0.051666666666666666"
"6","100","false","10000","2","0.06333333333333334"
"10","100","false","10000","2","0.051666666666666666"
"1","100","false","10000","2","0.051666666666666666"
"3","100","false","10000","2","0.04833333333333333"
"7","100","false","10000","2","0.04"
"8","100","false","10000","2","0.041666666666666664"
"2","100","false","10000","2","0.05333333333333334"
"5","100","false","10000","3","0.08333333333333333"
"4","100","false","10000","3","0.065"
"9","100","false","10000","3","0.08166666666666667"
"6","100","false","10000","3","0.09166666666666666"
"10","100","false","10000","3","0.07333333333333333"
"1","100","false","10000","3","0.08333333333333333"
"8","100","false","10000","3","0.065"
"3","100","false","10000","3","0.06333333333333334"
"2","100","false","10000","3","0.06833333333333333"
"7","100","false","10000","3","0.06833333333333333"
"5","100","false","10000","4","0.1"
"4","100","false","10000","4","0.09"
"9","100","false","10000","4","0.10166666666666667"
"10","100","false","10000","4","0.09333333333333334"
"6","100","false","10000","4","0.11833333333333333"
"1","100","false","10000","4","0.11333333333333333"
"7","100","false","10000","4","0.1"
"8","100","false","10000","4","0.09"
"2","100","false","10000","4","0.095"
"3","100","false","10000","4","0.08333333333333333"
"5","100","false","10000","5","0.11833333333333333"
"9","100","false","10000","5","0.11833333333333333"
"4","100","false","10000","5","0.11166666666666666"
"10","100","false","10000","5","0.125"
"1","100","false","10000","5","0.13166666666666665"
"6","100","false","10000","5","0.145"
"2","100","false","10000","5","0.12333333333333334"
"3","100","false","10000","5","0.105"
"7","100","false","10000","5","0.11833333333333333"
"8","100","false","10000","5","0.10666666666666667"
"5","100","false","10000","6","0.14333333333333334"
"9","100","false","10000","6","0.15166666666666667"
"4","100","false","10000","6","0.145"
"10","100","false","10000","6","0.16"
"1","100","false","10000","6","0.15666666666666668"
"6","100","false","10000","6","0.16333333333333333"
"7","100","false","10000","6","0.15833333333333333"
"2","100","false","10000","6","0.155"
"8","100","false","10000","6","0.12666666666666668"
"3","100","false","10000","6","0.12833333333333333"
"5","100","false","10000","7","0.16"
"4","100","false","10000","7","0.16833333333333333"
"9","100","false","10000","7","0.18333333333333332"
"10","100","false","10000","7","0.19"
"1","100","false","10000","7","0.18833333333333332"
"6","100","false","10000","7","0.19833333333333333"
"7","100","false","10000","7","0.18166666666666667"
"2","100","false","10000","7","0.17333333333333334"
"3","100","false","10000","7","0.15833333333333333"
"8","100","false","10000","7","0.14833333333333334"
"5","100","false","10000","8","0.195"
"4","100","false","10000","8","0.20333333333333334"
"9","100","false","10000","8","0.21166666666666667"
"10","100","false","10000","8","0.21333333333333335"
"1","100","false","10000","8","0.21333333333333335"
"6","100","false","10000","8","0.235"
"7","100","false","10000","8","0.21833333333333332"
"2","100","false","10000","8","0.20166666666666666"
"3","100","false","10000","8","0.20666666666666667"
"8","100","false","10000","8","0.18166666666666667"
"5","100","false","10000","9","0.22166666666666668"
"4","100","false","10000","9","0.22333333333333333"
"9","100","false","10000","9","0.23333333333333334"
"10","100","false","10000","9","0.23833333333333334"
"1","100","false","10000","9","0.24166666666666667"
"6","100","false","10000","9","0.27166666666666667"
"7","100","false","10000","9","0.24333333333333335"
"2","100","false","10000","9","0.23"
"5","100","false","10000","10","0.24333333333333335"
"3","100","false","10000","9","0.24333333333333335"
"8","100","false","10000","9","0.21666666666666667"
"4","100","false","10000","10","0.24833333333333332"
"9","100","false","10000","10","0.25833333333333336"
"1","100","false","10000","10","0.26666666666666666"
"10","100","false","10000","10","0.255"
"6","100","false","10000","10","0.30833333333333335"
"7","100","false","10000","10","0.2816666666666667"
