"BehaviorSpace results (NetLogo 6.2.2)"
"Model_final-version.nlogo"
"10000_people_70.6pct_vacinated"
"01/31/2022 18:54:45:924 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-135","135","-135","135"
"[run number]","percentage-vacinated","Show-place-of-infection","crowd-size","[step]","r-number"
"3","70.6","false","10000","0","0"
"7","70.6","false","10000","0","0"
"5","70.6","false","10000","0","0"
"9","70.6","false","10000","0","0"
"8","70.6","false","10000","0","0"
"1","70.6","false","10000","0","0"
"2","70.6","false","10000","0","0"
"4","70.6","false","10000","0","0"
"10","70.6","false","10000","0","0"
"6","70.6","false","10000","0","0"
"9","70.6","false","10000","1","0.041666666666666664"
"8","70.6","false","10000","1","0.045"
"7","70.6","false","10000","1","0.06333333333333334"
"3","70.6","false","10000","1","0.06"
"5","70.6","false","10000","1","0.043333333333333335"
"4","70.6","false","10000","1","0.04666666666666667"
"6","70.6","false","10000","1","0.043333333333333335"
"1","70.6","false","10000","1","0.051666666666666666"
"2","70.6","false","10000","1","0.051666666666666666"
"10","70.6","false","10000","1","0.03833333333333333"
"8","70.6","false","10000","2","0.09166666666666666"
"9","70.6","false","10000","2","0.09166666666666666"
"7","70.6","false","10000","2","0.10833333333333334"
"2","70.6","false","10000","2","0.08833333333333333"
"3","70.6","false","10000","2","0.10166666666666667"
"5","70.6","false","10000","2","0.09666666666666666"
"4","70.6","false","10000","2","0.095"
"1","70.6","false","10000","2","0.11333333333333333"
"10","70.6","false","10000","2","0.085"
"6","70.6","false","10000","2","0.07166666666666667"
"8","70.6","false","10000","3","0.12333333333333334"
"9","70.6","false","10000","3","0.11833333333333333"
"4","70.6","false","10000","3","0.14"
"1","70.6","false","10000","3","0.14666666666666667"
"2","70.6","false","10000","3","0.12333333333333334"
"5","70.6","false","10000","3","0.14833333333333334"
"7","70.6","false","10000","3","0.16"
"6","70.6","false","10000","3","0.125"
"3","70.6","false","10000","3","0.15666666666666668"
"10","70.6","false","10000","3","0.12666666666666668"
"8","70.6","false","10000","4","0.17"
"4","70.6","false","10000","4","0.21333333333333335"
